Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,0,0,1,linear,1,0.1188,515.015883250216,-324.8,-1058,921.999999999999
EMA,0.9,0.9,1,minmax,0.1,0.0071,543.76620793213,-343.333333333334,-1058,921.999999999999
EMA,0.9,1,1,minmax,0.1,0.0054,544.012606063091,-343.533333333334,-1058,921.999999999999
EMA,0.9,1,1,minmax,0,0.0056,544.077911087496,-343.6,-1058,921.999999999999
EMA,0.9,0.7,1,linear,1,0.0138,551.992270477284,-348,-1058,921.999999999999
SMA,0,0.8,1,linear,1,0.012,552.559603622592,-352.866666666667,-1058,921.999999999999
SMA,0,1,1,linear,1,0.0071,553.638132919168,-365.866666666667,-1058,921.999999999999
