Year,Classifier 1,Classifier 2,Classifier 3,Classifier 4,Classifier 5,Classifier 6,Classifier 7,Classifier 8,Classifier 9,Classifier 10,Classifier 11
1929.25,0,0,0,0,0,0,0,0,0,0,0
1929.33333333333,0,0,0,0,0,0,0,0,0,0,0
1929.41666666667,0,0,0,0,0,0,0,0,0,0,0
1929.5,0,0,0,0,0,0,0,0,0,0,0
1929.58333333333,0,0,0,0,0,0,0,0,0,0,0
1929.66666666667,0,0,0,0,0,0,0,0,0,0,0
1929.75,0,0,0,0,0,0,0,0,0,0,0
1929.83333333333,0,0,0,0,0,0,0,0,0,0,0
1929.91666666667,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0.000622371849188452,0.000428231182812544,0.000428231182812544,0.00206365126442742,0.000218848797198357,0.00131459990636684,0.000218848797198357,0.000150796364737249,0.000150796364737249
1930.08333333333,0.00232468730000002,0.00941660731573779,0.0103560370118314,0.0072189956742188,0.0072189956742188,0.0210194697579731,0.00790381234308102,0.0213159413294126,0.00790381234308102,0.00550259330357961,0.00550259330357961
1930.16666666667,0.00671260098000004,0.0266487427359556,0.013084704795262,0.00892362581391604,0.00892362581391604,0.0228126039551471,0.0126196197009476,0.0297661712620603,0.0126196197009476,0.00862712054099224,0.00862712054099224
1930.25,0.00666461194000001,0.0301452617110254,0.0104557095986582,0.00708353250695803,0.00708353250695803,0.0234598553083922,0.0136526117492861,0.0315657247494014,0.0136526117492861,0.00931753339180819,0.00931753339180819
1930.33333333333,0.00605454023999996,0.0313230284070287,0.00864683878619976,0.00582222270347899,0.00582222270347899,0.0247642054870438,0.0141679611078527,0.0336624195570958,0.0146925072706492,0.00964485739508492,0.0100098102622976
1930.41666666667,0.00424135566000006,0.0332645378550274,0.00587864005547112,0.0039252877017395,0.0039252877017395,0.0262025766190983,0.0124464315174084,0.034223582850297,0.0151862461480223,0.0084220825570509,0.0103199867973787
1930.5,0.00301018322000002,0.0318077873528131,0.0053795320353911,0.0035717495008698,0.0035717495008698,0.0282032453935948,0.0111871235866443,0.0298624089942703,0.013644385305146,0.00752292849423053,0.00921271071842711
1930.58333333333,0.0024404362999999,0.0304930493446294,0.0045122930490471,0.00298322705043486,0.00298322705043486,0.0265501613027921,0.00856618729568948,0.0255043144652045,0.0119208340068271,0.00571850877653834,0.00800516547105634
1930.66666666667,0.00214768292,0.0238138725916333,0.00461497824720847,0.00304018652521743,0.00304018652521743,0.0211490897908835,0.00758148573803363,0.0195426146523245,0.0094778294574871,0.00503390522592306,0.00631550632263378
1930.75,0.00231412255999996,0.018926959066458,0.00449550630270634,0.00295036871260879,0.00295036871260879,0.0181798077123683,0.00676482810020373,0.0176643360002937,0.00841183485864816,0.00446927145555387,0.00557549487358033
1930.83333333333,0.00206991619999997,0.0155790369802133,0.00377926340684898,0.00247377410630434,0.00247377410630434,0.0120184970946406,0.00609987118684963,0.014900449387409,0.00713286323518814,0.00401822711333222,0.00470863996414816
1930.91666666667,0.00187636208000008,0.0136052148730703,0.00299076165417511,0.00195035405315214,0.00195035405315214,0.0111466962305315,0.00552381786191836,0.0141081077027487,0.00656371338328143,0.00362702366799939,0.00431930053848883
1931,0.00151234174000003,0.0128956406392466,0.00247876733074026,0.00161369917657606,0.00161369917657606,0.00933372494591289,0.00470390085916561,0.0122769138338439,0.00572218589933526,0.00308044252079964,0.00375557192309339
1931.08333333333,0.000962066060000044,0.0106319900653646,0.00132524820395186,0.000861435838288016,0.000861435838288016,0.0080146586665466,0.00337882474573248,0.00949228362208965,0.00457677853347005,0.00220744995247979,0.002998078113856
1931.16666666667,0.000480470620000006,0.0083828174023175,0.000347162500367926,0.000225319069144025,0.000225319069144025,0.00640702689919292,0.00253094594660008,0.00628393514470282,0.00326465636678286,0.00165119737148778,0.00213343434831359
1931.25,0.000256619359999988,0.00625330120465284,0.00041115731271768,0.000266498384572045,0.000266498384572045,0.0057186308195778,0.00186216233737801,0.00555489651700558,0.00277380449917564,0.00121159534289272,0.00180859288898816
1931.33333333333,0,0.00491981259414942,0,0,0,0.00534215663917337,0.00169237061548211,0.005348669178868,0.00252271973609663,0.00109714120573556,0.00163873085339283
