Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,3,0.9,7,minmax,1,0.0045,1.69967317119771,3.66666666666636,0.999999999999091,6
SMA,4,1,4,minmax,1,0.0023,1.70692127730426,3.55555555555535,0.999999999999091,6
SMA,3,0.7,8,minmax,1,0.0084,1.77081971672327,3.55555555555475,0.999999999999091,6
EMA,0.5,1,5,minmax,1,0.0025,1.82574185835,2.66666666666576,0,4.99999999999818
EMA,0.4,0.9,7,minmax,1,0.0027,1.83249138916286,2.44444444444374,0,4.99999999999818
EMA,0.3,1,7,minmax,1,0.0014,2.21108319357008,2.33333333333273,-1.00000000000182,4.99999999999818
EMA,0.4,1,7,minmax,1,0.0019,2.34652356465988,2.22222222222141,-2.00000000000091,4.99999999999818
SMA,6,0.6,1,minmax,0.9,0.0018,2.84583299441428,1.88888888888808,-4.00000000000182,4.99999999999818
