Year,Mean recession probability,Recession probability from classifier 1,Recession probability from classifier 2,Recession probability from classifier 3,Recession probability from classifier 4,Recession probability from classifier 5,Recession probability from classifier 6,Recession probability from classifier 7,Recession probability from classifier 8,Recession probability from classifier 9,Recession probability from classifier 10
1929.25,0,0,0,0,0,0,0,0,0,0,0
1929.33333333333,0,0,0,0,0,0,0,0,0,0,0
1929.41666666667,0,0,0,0,0,0,0,0,0,0,0
1929.5,0,0,0,0,0,0,0,0,0,0,0
1929.58333333333,0,0,0,0,0,0,0,0,0,0,0
1929.66666666667,0,0,0,0,0,0,0,0,0,0,0
1929.75,0,0,0,0,0,0,0,0,0,0,0
1929.83333333333,0,0,0,0,0,0,0,0,0,0,0
1929.91666666667,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0,0,0
1930.08333333333,0.86822195509402,0.9706591601359,0.966880237500211,0.951833791166431,0.896210778832188,0.877535610881994,0.857475296298717,0.839079102272313,0.798511004773121,0.778860308046386,0.745174261032943
1930.16666666667,0.94163141220976,0.993569458430689,0.99217207768547,0.987226760579953,0.965648212838574,0.955379177002919,0.945595284979758,0.934165991988632,0.901905565862625,0.886362252500035,0.854289340228943
1930.25,0.977260098596064,0.998980922001455,0.99863622364902,0.997469886630016,0.991354859703555,0.987326340661279,0.983745277677159,0.978537206516038,0.959824889987276,0.950165856708142,0.926559522426702
1930.33333333333,0.992096557875487,0.999884129671264,0.999826170071623,0.999628651008792,0.998362051258548,0.99722054018647,0.996236842416778,0.994478100867245,0.986266957910028,0.981488980283806,0.967573155080317
1930.41666666667,0.99752796284372,0.999990598905977,0.999983874965478,0.999959840962108,0.999767981233963,0.999532486823681,0.999329679441387,0.998886595274945,0.996104560525137,0.994208134886067,0.987515875418454
1930.5,0.999303540715023,0.999999457834793,0.999998915521226,0.999996812973923,0.99997554885628,0.999939978159048,0.999908594683509,0.999824928271589,0.999087025825727,0.998479856744913,0.995824288279222
1930.58333333333,0.999824114487566,0.999999977839064,0.999999947268652,0.999999814946616,0.99999808982897,0.999994138944265,0.999990493618591,0.999978611002774,0.99982377425966,0.999666372802892,0.998789924364176
1930.66666666667,0.999960448990916,0.99999999935936,0.999999998150188,0.999999992155828,0.999999889671736,0.999999565838596,0.999999247995757,0.999997975160004,0.999972054020758,0.999938919662666,0.99969684789427
1930.75,0.999992128875173,0.999999999986923,0.99999999995326,0.999999999757678,0.999999995298167,0.999999975651807,0.999999954847557,0.999999851777231,0.999996366030393,0.99999068912379,0.999934456324923
1930.83333333333,0.999998620824116,0.999999999999812,0.99999999999915,0.999999999994552,0.999999999852383,0.999999998967833,0.999999997945534,0.999999991623454,0.999999613093126,0.999998819983354,0.99998778678196
1930.91666666667,0.999999788244155,0.999999999999998,0.999999999999989,0.999999999999911,0.99999999999659,0.999999999966965,0.99999999992925,0.999999999635001,0.999999966311706,0.999999875810944,0.999998040791198
1931,0.999999971641558,1,1,0.999999999999999,0.999999999999942,0.999999999999203,0.999999999998158,0.999999999987749,0.999999997603465,0.99999998915664,0.999999729670426
1931.08333333333,0.999999996701669,1,1,1,0.999999999999999,0.999999999999985,0.999999999999964,0.999999999999684,0.999999999860818,0.999999999215138,0.999999967941097
1931.16666666667,0.99999999966806,1,1,1,1,1,0.999999999999999,0.999999999999994,0.999999999993405,0.999999999952935,0.999999996734269
1931.25,0.99999999997118,1,1,1,1,1,1,1,0.999999999999745,0.999999999997663,0.999999999714395
1931.33333333333,0.699999999997846,0,1,1,0,0,1,1,0.999999999999992,0.999999999999904,0.999999999978565
1931.41666666667,0.699999999999862,0,1,1,0,0,1,1,1,0.999999999999997,0.99999999999862
1931.5,0.699999999999992,0,1,1,0,0,1,1,1,1,0.999999999999924
1931.58333333333,0.7,0,1,1,0,0,1,1,1,1,0.999999999999996
1931.66666666667,0.7,0,1,1,0,0,1,1,1,1,1
1931.75,0.7,0,1,1,0,0,1,1,1,1,1
1931.83333333333,0.7,0,1,1,0,0,1,1,1,1,1
1931.91666666667,0.7,0,1,1,0,0,1,1,1,1,1
1932,0.7,0,1,1,0,0,1,1,1,1,1
1932.08333333333,0.7,0,1,1,0,0,1,1,1,1,1
1932.16666666667,0.7,0,1,1,0,0,1,1,1,1,1
