Year,Mean recession probability,Recession probability from classifier 1,Recession probability from classifier 2,Recession probability from classifier 3,Recession probability from classifier 4,Recession probability from classifier 5,Recession probability from classifier 6,Recession probability from classifier 7,Recession probability from classifier 8,Recession probability from classifier 9,Recession probability from classifier 10
1929.25,0,0,0,0,0,0,0,0,0,0,0
1929.33333333333,0,0,0,0,0,0,0,0,0,0,0
1929.41666666667,0,0,0,0,0,0,0,0,0,0,0
1929.5,0,0,0,0,0,0,0,0,0,0,0
1929.58333333333,0,0,0,0,0,0,0,0,0,0,0
1929.66666666667,0,0,0,0,0,0,0,0,0,0,0
1929.75,0,0,0,0,0,0,0,0,0,0,0
1929.83333333333,0,0,0,0,0,0,0,0,0,0,0
1929.91666666667,0,0,0,0,0,0,0,0,0,0,0
1930,0.477694388756994,0,0,0,0,0.992847060782266,0.986557244073279,0.972244450951047,0,0.927853972279989,0.897441159483361
1930.08333333333,0.88943306087402,0,0.999997584598021,0.998174782797771,0.997116896694653,0.999221713487555,0.998053791438608,0.994200682775478,0.96567626992877,0.978708022079459,0.963180864939887
1930.16666666667,0.997523534006197,0.999999990027987,0.999999976327726,0.999887657756658,0.999795191386049,0.999947418222983,0.99981480312712,0.999136024612915,0.991803742199282,0.995277917156091,0.989572619245159
1930.25,0.999534873107531,0.999999999970824,0.999999999892347,0.999996127891784,0.999991719442512,0.999997813238666,0.999988516445633,0.999908962219418,0.998555843964247,0.999220089991556,0.997689658018325
1930.33333333333,0.999931268892642,0.999999999999964,0.999999999999774,0.999999925891087,0.999999811133698,0.999999944347472,0.999999538723327,0.999993253133365,0.999813656306611,0.99990467446992,0.999601884921206
1930.41666666667,0.999992040868441,1,1,0.999999999216834,0.999999997584204,0.999999999136826,0.999999988046634,0.99999964972875,0.999982484928644,0.999991416353189,0.999946873689328
1930.5,0.999999275214393,1,1,0.999999999995448,0.999999999982742,0.999999999991865,0.999999999800768,0.99999998729844,0.999998805338716,0.999999432449947,0.999994527286
1930.58333333333,0.99999994790632,1,1,0.999999999999985,0.999999999999931,0.999999999999953,0.999999999997869,0.999999999678998,0.999999941035709,0.999999972512154,0.999999565838596
1930.66666666667,0.999999997044304,1,1,1,1,1,0.999999999999985,0.999999999994355,0.999999997898531,0.999999999026647,0.999999973523525
1930.75,0.999999999868138,1,1,1,1,1,1,0.999999999999931,0.999999999946007,0.999999999974837,0.999999998760605
1930.83333333333,0.999999999995404,1,1,1,1,1,1,0.999999999999999,0.999999999999001,0.999999999999526,0.999999999955515
1930.91666666667,0.999999999999876,1,1,1,1,1,1,1,0.999999999999987,0.999999999999993,0.999999999998777
1931,0.999999999999998,1,1,1,1,1,1,1,1,1,0.999999999999974
1931.08333333333,1,1,1,1,1,1,1,1,1,1,1
1931.16666666667,1,1,1,1,1,1,1,1,1,1,1
1931.25,1,1,1,1,1,1,1,1,1,1,1
1931.33333333333,1,1,1,1,1,1,1,1,1,1,1
1931.41666666667,1,1,1,1,1,1,1,1,1,1,1
1931.5,1,1,1,1,1,1,1,1,1,1,1
1931.58333333333,1,1,1,1,1,1,1,1,1,1,1
1931.66666666667,1,1,1,1,1,1,1,1,1,1,1
1931.75,1,1,1,1,1,1,1,1,1,1,1
1931.83333333333,1,1,1,1,1,1,1,1,1,1,1
1931.91666666667,1,1,1,1,1,1,1,1,1,1,1
1932,1,1,1,1,1,1,1,1,1,1,1
1932.08333333333,1,1,1,1,1,1,1,1,1,1,1
1932.16666666667,1,1,1,1,1,1,1,1,1,1,1
1932.25,1,1,1,1,1,1,1,1,1,1,1
1932.33333333333,1,1,1,1,1,1,1,1,1,1,1
1932.41666666667,1,1,1,1,1,1,1,1,1,1,1
1932.5,1,1,1,1,1,1,1,1,1,1,1
1932.58333333333,1,1,1,1,1,1,1,1,1,1,1
1932.66666666667,1,1,1,1,1,1,1,1,1,1,1
1932.75,1,1,1,1,1,1,1,1,1,1,1
1932.83333333333,1,1,1,1,1,1,1,1,1,1,1
1932.91666666667,1,1,1,1,1,1,1,1,1,1,1
1933,1,1,1,1,1,1,1,1,1,1,1
1933.08333333333,1,1,1,1,1,1,1,1,1,1,1
1933.16666666667,1,1,1,1,1,1,1,1,1,1,1
1933.25,1,1,1,1,1,1,1,1,1,1,1
