Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,8,0,1,linear,0.7,0.017,1.63507473460839,3.42857142857084,0.999999999999091,6.99999999999909
SMA,4,1,4,minmax,1,0.0023,1.65523288946526,3.21428571428532,0.999999999999091,6
SMA,3,0.7,8,minmax,1,0.0084,1.69783776057201,3.21428571428493,0.999999999999091,6
EMA,0.5,0.9,5,minmax,1,0.0038,1.71577316420871,2.35714285714208,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0027,1.74963553055894,2.28571428571357,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0025,1.81967702897904,2.21428571428506,0,4.99999999999818
EMA,0.7,0.6,10,minmax,1,0.0142,1.83085794542464,2.07142857142805,0,4.99999999999818
EMA,0.5,0.7,8,minmax,1,0.007,1.92194629243876,1.85714285714234,-1.00000000000182,4.99999999999818
EMA,0.4,0.9,8,minmax,1,0.0027,1.94306721553321,1.71428571428513,-1.00000000000182,4.99999999999818
EMA,0.3,1,7,minmax,1,0.0014,2.15827784710527,1.64285714285662,-1.00000000000182,4.99999999999818
EMA,0.4,1,8,minmax,1,0.0019,2.22692246687388,1.57142857142792,-2.00000000000091,4.99999999999818
