Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,4,1,4,minmax,1,0.0023,1.63902121174345,3.0769230769228,0.999999999999091,6
SMA,3,0.7,8,minmax,1,0.0084,1.68530017693896,3.07692307692238,0.999999999999091,6
EMA,0.5,0.9,5,minmax,1,0.0038,1.71660873880114,2.23076923076846,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0027,1.74735641409189,2.15384615384545,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0025,1.81707874015602,2.07692307692245,0,4.99999999999818
EMA,0.7,0.8,10,minmax,1,0.0078,1.88107988625133,1.99999999999944,0,4.99999999999818
EMA,0.4,0.9,7,minmax,1,0.0027,1.92768678248271,1.76923076923042,-0.999999999999091,4.99999999999818
EMA,0.5,0.7,8,minmax,1,0.007,1.9671864388526,1.76923076923021,-1.00000000000182,4.99999999999818
EMA,0.4,0.9,8,minmax,1,0.0027,2.01473859287785,1.6923076923072,-1.00000000000182,4.99999999999818
EMA,0.4,1,7,minmax,1,0.0019,2.23739070342238,1.6153846153842,-2.00000000000091,4.99999999999818
EMA,0.4,1,8,minmax,1,0.0019,2.30769230769192,1.53846153846098,-2.00000000000091,4.99999999999818
