Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,4,1,4,minmax,1,0.0023,1.71044433838444,3.27272727272702,0.999999999999091,6
SMA,3,0.7,8,minmax,1,0.0084,1.76279267542414,3.27272727272653,0.999999999999091,6
SMA,4,0.9,8,minmax,1,0.0032,1.80906806746658,2.9999999999995,0,6
EMA,0.5,1,5,minmax,1,0.0025,1.82272160506881,2.3636363636357,0,4.99999999999818
EMA,0.7,0.8,10,minmax,1,0.0078,1.91125418560195,2.27272727272669,0,4.99999999999818
EMA,0.4,0.9,7,minmax,1,0.0027,1.92847303959901,2.09090909090868,-0.999999999999091,4.99999999999818
EMA,0.3,1,7,minmax,1,0.0014,2.21564683762765,1.99999999999967,-1.00000000000182,4.99999999999818
EMA,0.4,1,7,minmax,1,0.0019,2.31416764751905,1.90909090909041,-2.00000000000091,4.99999999999818
SMA,6,0.6,1,minmax,0.9,0.0018,2.63165724111426,1.72727272727215,-4.00000000000182,4.99999999999818
