Year,Classifier 1,Classifier 2,Classifier 3,Classifier 4,Classifier 5,Classifier 6,Classifier 7,Classifier 8,Classifier 9,Classifier 10
1929.25,0,0,0,0,0,0,0,0,0,0
1929.33333333333,0,0,0.00189334335114832,0.00280528313259403,0.00488267178872293,0.00236667918893541,0.00271949593143557,0,0.00841584939778208,0.00841584939778208
1929.41666666667,0,0,0.00149054095896091,0.00221680327720453,0.00385356516171775,0.00186317619870113,0.00214362237784709,0,0.00665040983161358,0.00665040983161358
1929.5,0,0,0,0,0,0,0,0,0,0
1929.58333333333,0,0,0.00163281074850552,0.00243633394731457,0.00423057875709287,0.0020410134356319,0.00235078431384306,0,0.00730900184194372,0.00730900184194372
1929.66666666667,0,0,0,0,0,0,0,0,0,0
1929.75,0,0,0.000388908012037348,0.000578908673719702,0.00100604870936438,0.000486135015046685,0.000559471465467176,0,0.00173672602115911,0.00173672602115911
1929.83333333333,0,0,0.00299382113969617,0.00447335994953395,0.00776415760755755,0.00374227642462022,0.00431226061243422,0,0.0174955079081032,0.0174955079081032
1929.91666666667,0,0,0.00316687668238114,0.00476483768477029,0.00825098117164313,0.00395859585297642,0.00457207414813201,0,0.0201926113128903,0.0201926113128903
1930,0,0,0.0058622092493442,0.00891108320774911,0.0153781253429557,0.00732776156168025,0.00849233251761188,0,0.0305970915373792,0.0305970915373792
1930.08333333333,0.00101786510181823,0.00101786510181823,0.0125894433538149,0.0367943094321747,0.0267406597185404,0.012759297321552,0.0182054114230501,0.012793256272869,0.0584741386070221,0.0584741386070221
1930.16666666667,0.00265217481166669,0.00163430970984846,0.020993455489135,0.0684063017821253,0.0414520128592326,0.0199225976729558,0.0272463945519251,0.0326557460356223,0.0753728050397431,0.0753728050397431
1930.25,0.00308141407651519,0.00144710436666673,0.0243275710631782,0.0783521890169101,0.0474871226623252,0.0229841495958238,0.0312035393244967,0.0368065158570192,0.0944694277934428,0.0944694277934428
1930.33333333333,0.00309998591666671,0.00165288154999998,0.0228590116421108,0.0722704816071949,0.0443079258271113,0.0215874734545236,0.02923076850431,0.0356221013560427,0.086560761370166,0.086560761370166
1930.41666666667,0.00401242729999995,0.00235954574999997,0.0307634620027416,0.0928369703116987,0.0606864807714906,0.029574958272695,0.0408958194684054,0.0442101153782701,0.0827204719473723,0.0827204719473723
1930.5,0.00666744947499998,0.00430790372500001,0.0424441387014611,0.132524567903282,0.0779400050553454,0.0390249935987546,0.0506526850352344,0.069155481075255,0.102845237017582,0.102845237017582
1930.58333333333,0.0109606483416667,0.00665274461666665,0.0525228525379815,0.165064873723578,0.0881639486927137,0.0462289624022625,0.0554768697709836,0.104764023625081,0.101744792931246,0.101744792931246
1930.66666666667,0.0149776147416667,0.00832487012500005,0.0560909585470045,0.167957540077088,0.0904521200789921,0.049084532130119,0.0574977194923743,0.12938021565041,0.0980434497190837,0.0980434497190837
1930.75,0.0183485989416667,0.0100237288166667,0.055189559124336,0.15897798032811,0.0833832417997167,0.0474576269159364,0.0529415861189434,0.141207519035687,0.0912426059159314,0.0912426059159314
1930.83333333333,0.0223593720999999,0.0123356432833333,0.0537611746069542,0.146776185327271,0.0789974200183929,0.0463041234558363,0.0510588843273425,0.1524712250709,0.0926202029784887,0.0926202029784887
1930.91666666667,0.025595642075,0.0132599987916667,0.0485345008150602,0.12647620479152,0.0694544284803966,0.0418188176298502,0.0455502977291791,0.155463609474437,0.0855416179093026,0.0855416179093026
1931,0.0246432882333334,0.0113832894416667,0.0373500306735245,0.0933239109917244,0.0533887571189967,0.0324540742594457,0.0356537468401769,0.135099702994749,0.0599022017691284,0.0599022017691284
1931.08333333333,0.021456781525,0.0100734920833333,0.0334521309767453,0.0816321581205999,0.0460456832069217,0.0288186907545356,0.030803498772527,0.107688158091278,0.037620765428031,0.037620765428031
1931.16666666667,0.0187462235166667,0.00867273143333336,0.0269235433896222,0.06422316278042,0.0362264485097175,0.023120002250971,0.0243545330844723,0.0879290579717458,0.0221724768392105,0.0221724768392105
1931.25,0.0166295132416666,0.00795678180833326,0.0183610575897439,0.0429541843745428,0.0246434007302077,0.0158148510584782,0.0166956951090476,0.0737868353394815,0.0105839998114986,0.0105839998114986
1931.33333333333,0.0156959900333333,0.00773920822500007,0.0109698241385614,0.0247465197846413,0.0168639252413211,0.00997536889731276,0.0118555929497492,0.066458611222161,0.00615913806036286,0.00615913806036286
1931.41666666667,0.0149420864583334,0.00720287823333332,0.00622969910804008,0.0136089663042723,0.0109838256878575,0.00599705441724718,0.00793830608023809,0.0607488392335387,0.0122281047237392,0.0122281047237392
1931.5,0.0128513798833333,0.00564850164999997,0.00155267905696617,0.00296642899536437,0.00435278013099782,0.00186990442727097,0.00234663507301511,0.0504978617719098,0.00875553540298721,0.00875553540298721
1931.58333333333,0.00955482067500002,0.00390631902500005,0.00201969293370006,0.00377211449679606,0.0060778256986993,0.00252461616712507,0.00313373106403105,0.0365397754043688,0.0128538546960874,0.0128538546960874
1931.66666666667,0.00649132799166674,0.00258500896666669,0.00262469561052967,0.00493416730520479,0.00793290071711472,0.00328086951316209,0.00408131734910988,0.0243467298731037,0.0232020479631704,0.0232020479631704
1931.75,0.00405548256666666,0.00147047359999997,0.0038149377253581,0.00745827426717032,0.0106917907481019,0.00456218031460143,0.00577476969810746,0.0150235084261963,0.0331356610361839,0.0331356610361839
1931.83333333333,0.00166414661666658,0.000193673016666618,0.00653633996930645,0.0141130628625408,0.0131527931663361,0.00662555828300759,0.00890070766374369,0.00612601124644274,0.0289724881190518,0.0289724881190518
