Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,11,1,2,linear,1,0.0022,1.06904496765018,5.99999999999961,4.99999999999818,8.00000000000091
SMA,11,1,1,linear,1,0.0009,1.12485826771643,5.14285714285714,3.99999999999909,7.00000000000182
SMA,8,0.3,1,linear,0.6,0.008,1.27775313000016,3.71428571428467,1.99999999999818,5.00000000000091
SMA,8,0,1,linear,0.8,0.0182,1.29362644830555,3.57142857142766,1.99999999999818,5.00000000000091
SMA,8,0.1,1,linear,0.5,0.0152,1.39970842444777,3.42857142857065,0.999999999999091,5.00000000000091
SMA,8,0.3,1,linear,0.5,0.007,1.48461497791622,3.28571428571364,0.999999999999091,5.00000000000091
SMA,8,0.2,1,minmax,0.6,0.0077,1.64130361329655,3.14285714285662,0.999999999999091,5.00000000000091
SMA,11,0.3,2,linear,1,0.004,1.72614942479862,3.14285714285623,0.999999999999091,4.99999999999818
SMA,6,0,1,linear,0.4,0.0236,1.76126114370505,2.57142857142857,0,4.99999999999818
SMA,6,0,1,linear,0.4,0.0218,1.91662969499938,2.42857142857156,0,4.99999999999818
