Year,Classifier 1,Classifier 2,Classifier 3,Classifier 4,Classifier 5,Classifier 6,Classifier 7,Classifier 8
1929.25,0,0,0,0,0,0,0,0
1929.33333333333,0,0,0,0,0,0,0,0.0887401597218722
1929.41666666667,0,0,0,0,0,0,0,0.0695982921138742
1929.5,0,0,0,0,0,0,0,0
1929.58333333333,0,0,0,0,0,0,0,0.0759928751013309
1929.66666666667,0,0,0,0,0,0,0,0
1929.75,0,0,0,0,0,0,0,0.0181435079435527
1929.83333333333,0,0,0,0,0,0,0,0.1810280030182
1929.91666666667,0,0,0,0,0,0,0,0.205035782303304
1930,0,0,0,0.171292473125018,0.0810551100734654,0,0.0793665077564468,0.302899138587917
1930.08333333333,1.00337681728376,1.01073360869566,1.12102468044498,2.88759826968752,2.92733790484482,2.76046943989313,2.89610173872611,3.30564412336319
1930.16666666667,2.78091532183117,2.91852216521741,3.17246937332805,3.56945032556641,4.67393322257319,5.33466988055287,4.54058975841697,3.41789901972422
1930.25,3.10313859437746,2.8976573652174,3.58872163226493,2.83341300278321,5.05652287010597,5.92767162151326,4.90396494305694,4.83846394626873
1930.33333333333,3.21851888220401,2.63240879999998,3.7289319532177,2.32888908139159,5.2473930029084,6.32133657791634,5.07624073425522,4.29828718319737
1930.41666666667,3.03094340963349,1.84406767826089,3.9600640303604,1.5701150806958,4.60978945089201,5.83663281168434,4.43267503002679,3.36925465542017
1930.5,2.87451978385114,1.30877531304349,3.78664135152537,1.42869980034792,4.14337910616456,5.40868526817903,3.95943604959502,3.80411190675176
1930.58333333333,2.15268081930237,1.06105926086952,3.63012492197969,1.19329082017394,3.17266196136647,4.43148237343966,3.00974146133597,3.20134830975233
1930.66666666667,1.65620181472602,0.933775182608698,2.83498483233729,1.21607461008697,2.8079576807532,3.96068049712206,2.6494238031174,3.59143034870315
1930.75,1.41586693127888,1.00614024347825,2.25320941267357,1.18014748504351,2.50549188896435,3.54868794798545,2.35224813450204,3.53952000945412
1930.83333333333,1.18196433974734,0.899963565217377,1.85464725954921,0.989509642521735,2.25921155068505,3.20015169216116,2.11485637543801,3.77041593516416
1930.91666666667,1.18714674212302,0.815809600000036,1.61966843727028,0.780141621260855,2.04585846737717,2.89158157737002,1.90895982526283,3.71773104426691
1931,1.04158938630662,0.657539886956536,1.53519531419603,0.645479670630422,1.74218550339467,2.50851513273047,1.62128553726297,2.76987249633192
1931.08333333333,0.8115994023571,0.418289591304367,1.2657131030196,0.344574335315206,1.25141657249351,1.94838082862565,1.16181576446305,1.74319434107731
1931.16666666667,0.5979147524044,0.20890026956522,0.997954452656845,0.0901276276576102,0.93738738762966,1.53889911575214,0.869051248151462,1.0884154116479
1931.25,0.386667364764214,0.111573634782603,0.744440619601529,0.106599353828818,0.68968975458445,1.19555630245508,0.637681759417223,0.542396668386205
1931.33333333333,0.273427837509191,0,0.585691975493979,0,0.62680393166004,1.03520226886137,0.577442739860823,0.041882276563802
1931.41666666667,0.35250864091374,0,0.563433191563188,0,0.791937388706314,1.11238205248871,0.727403643916552,0.0823908096850105
1931.5,0,0,0.660137441458478,0.262936775693312,0.0448492235490857,1.05148152245636,0.0525722379686236,0.0583773627849856
1931.58333333333,0.53056954988996,0.156316652173899,0.418189852058987,0.742011489614303,0.973908630955905,1.1294070514337,0.89145606292041,0.0847821318304224
1931.66666666667,0.728083360748193,0.731892678260875,0.945724941539232,0.925534524807148,1.31583745377958,1.47965572886076,1.20142788906818,0.150305398212665
1931.75,0.884279570759983,0.81098897391303,1.15317049943762,0.95390158240356,1.64225976552725,1.84831528877399,1.49578429002002,1.82545962073545
1931.83333333333,0.970241315913759,0.727049565217418,1.26808917289003,0.644311211201787,1.52658691437538,1.79494496642753,1.3898031845383,1.49422742572095
1931.91666666667,0.94375052022613,0.613166599999963,1.33344600220802,0.519415265600864,1.26809774205991,1.58081254078497,1.15254260545986,1.38340712846356
1932,0.809327959373866,0.489967104347851,1.28163248846262,0.530877572800437,1.14621037909564,1.45917851426377,1.03794916327586,1.29122500952476
1932.08333333333,0.61530288130893,0.288603269565199,1.02197805131213,0.293436286400217,1.05054419901134,1.35432765284184,0.949831792702349,1.34254641161339
1932.16666666667,0.574290966152358,0.246193547826102,0.967477737453035,0.32438319943231,1.06328373837279,1.34340089984641,0.95833427562142,1.57423858641859
1932.25,0.623797806196653,0.375622669565227,1.06205299423097,0.638256553677463,1.12158902348782,1.3776668870353,1.00461513379391,1.82284407167087
1932.33333333333,0.622281993699107,0.478466373913003,1.05243172074591,0.809317830800049,1.09315818063048,1.30647803521043,0.974472118520437,1.74129609983448
1932.41666666667,0.709415617226977,0.613988365217383,1.08586992052168,0.744356995400031,1.23971361183403,1.45179185321872,1.10361108487576,2.22348452668253
1932.5,0.800090924837595,0.781212478260868,1.16695872445721,0.826612017700024,1.40918548226053,1.62470041153884,1.2524668225837,2.33126422895091
1932.58333333333,0.827301956550958,0.694559286956527,1.14011137397978,0.708950308849987,1.31474278436948,1.55888435950578,1.16567777776075,2.08279553305231
1932.66666666667,0.835279877189393,0.487636373913064,1.15141116905489,0.386262914424984,1.27872797709304,1.53256630165402,1.13301098244595,1.95188218997143
1932.75,0.677904846506205,0.295215521739162,1.09059714499532,0.0902615772124804,0.941936647829649,1.22988483258638,0.834139073678037,1.06860925219062
1932.83333333333,0.431043008516695,0.0998214695651958,0.896460995168089,0.0501579886062142,0.581294237760897,0.873262925667631,0.51261043368056,0.464260289426366
